--------- beginning of system
--------- beginning of crash
--------- beginning of main
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
I/USThreadPool( 6760): Thread-id=293
